Record_ID,Process_ID,Process_Name,Machine_ID,Cycle_Time_min,Setup_Time_min,Waiting_Time_min,Defect_Rate,Inventory_Level,Machine_Utilization,Production_Output_units_hr,Lead_Time_min,Efficiency_Score,Is_Bottleneck,Shift,Day_Of_Week,Process_Enc,Machine_Enc,Shift_Enc,Util_x_CycleTime,Wait_to_Cycle_Ratio,Total_Process_Time,Defect_x_Output,High_Inventory,Log_Lead_Time,Log_Waiting
38,P01,Raw Material Intake,M09,4.28,2.65,2.15,0.1215,1,0.4315,5.02,9.66,35.79,1,Morning,5,6,8,1,1.8468200000000001,0.502335274917582,9.08,0.60993,0,2.3664984187376983,1.1474024528375417
39,P05,Surface Treatment,M05,20.35,11.92,1.9,0.0517,45,0.9573,3.43,32.96,116.41,1,Afternoon,5,8,4,0,19.481055,0.09336604748597174,34.17,0.17733100000000002,1,3.5251833614431467,1.0647107369924282
40,P08,Packaging,M08,5.42,4.89,0.62,0.0941,31,0.3751,3.53,10.08,31.9,0,Morning,1,4,7,1,2.033042,0.11439093285805747,10.929999999999998,0.332173,0,2.405141681319138,0.4824261492442927
41,P04,Welding,M06,19.79,7.03,2.17,0.2831,34,0.5404,1.84,30.99,60.68,1,Afternoon,3,9,5,0,10.694516,0.10965128365271165,28.990000000000002,0.520904,0,3.4654233539614268,1.1537315878891892
42,P05,Surface Treatment,M04,11.6,3.1,14.71,0.1779,0,0.8003,3.77,29.63,72.8,1,Morning,4,8,3,1,9.283479999999999,1.2681023550841768,29.41,0.670683,0,3.421979920844684,2.75429745226753
43,P10,Dispatch,M09,5.44,2.76,6.67,0.0578,2,0.7524,8.35,14.29,75.75,0,Morning,1,2,8,1,4.093056,1.226100687314913,14.87,0.48262999999999995,0,2.727199019940971,2.0373166153791646
44,P03,Forming,M04,17.47,2.13,2.13,0.1195,3,0.5529,2.6,22.85,75.6,1,Morning,5,3,3,1,9.659162999999998,0.12192322729065411,21.729999999999997,0.3107,0,3.1717842173343502,1.1410330045520618
45,P01,Raw Material Intake,M07,4.96,4.07,9.85,0.1245,10,0.5424,6.31,17.46,52.15,1,Night,3,6,6,2,2.690304,1.9858830929776352,18.880000000000003,0.7855949999999999,0,2.9156062290747062,2.3841650799864684
46,P02,Cutting,M01,15.52,7.47,3.02,0.0317,3,0.6517,2.86,24.68,73.87,0,Afternoon,4,1,0,0,10.114384,0.19458750348743334,26.009999999999998,0.09066199999999999,0,3.2457124788217606,1.3912819026309295
47,P02,Cutting,M07,11.79,1.25,1.31,0.1015,5,0.5256,1.93,13.99,37.99,1,Afternoon,5,1,6,0,6.196823999999999,0.11111101686936654,14.35,0.195895,0,2.7073833121145063,0.8372475245337022
48,P07,Quality Inspection,M02,12.32,0.5,1.79,0.1807,85,0.7189,3.25,13.19,66.66,1,Afternoon,1,5,1,0,8.856848,0.14529208986031666,14.61,0.587275,1,2.6525374911719513,1.0260415958332743
49,P02,Cutting,M05,12.51,7.21,0.75,0.0793,11,0.5298,1.49,19.85,30.96,0,Night,4,1,4,2,6.627798,0.059951990446050804,20.47,0.118157,0,3.0373539482448106,0.5596157879354227
50,P10,Dispatch,M10,4.58,11.54,5.88,0.135,13,0.6654,7.09,21.09,54.13,1,Afternoon,2,2,9,0,3.047532,1.2838399916157388,21.999999999999996,0.9571500000000001,0,3.095125017432026,1.9286186519452522
51,P09,Storage,M05,1.9,3.66,0.24,0.0513,5,0.7402,21.55,6.37,68.08,0,Afternoon,5,7,4,0,1.40638,0.12631512465723865,5.800000000000001,1.105515,0,1.9974177062012453,0.2151113796169455
52,P08,Packaging,M01,5.19,1.57,3.88,0.1112,3,0.2502,3.4,9.94,29.4,1,Afternoon,1,4,0,0,1.298538,0.7475900817146788,10.64,0.37807999999999997,0,2.392425796993835,1.5851452198650557
53,P07,Quality Inspection,M03,11.0,5.93,6.35,0.1836,7,0.8532,3.69,23.66,67.58,1,Night,5,5,2,2,9.3852,0.5772722024798159,23.28,0.6774840000000001,0,3.2051824977361982,1.9947003132247452
54,P06,Assembly,M06,28.05,19.71,46.74,0.1997,2,0.2907,0.1,95.11,4.68,1,Morning,3,0,5,1,8.154135,1.6663095663780512,94.5,0.01997,0,4.565493368835193,3.865769620910684
55,P07,Quality Inspection,M02,12.71,5.17,21.01,0.0822,37,0.7408,2.26,40.93,47.82,1,Afternoon,1,5,1,0,9.415568,1.6530278103636427,38.89,0.18577199999999996,0,3.7360015611826713,3.0914968955383704
56,P10,Dispatch,M02,5.49,0.5,10.2,0.13,8,0.3267,2.89,17.64,26.39,1,Afternoon,5,2,1,0,1.793583,1.8579201130781182,16.189999999999998,0.37570000000000003,0,2.925309809257445,2.4159137783010487
57,P01,Raw Material Intake,M01,4.7,1.69,1.76,0.0627,22,0.6322,7.15,8.1,56.02,0,Afternoon,1,6,0,0,2.97134,0.37446728836747156,8.15,0.44830500000000006,0,2.2082744135228043,1.0152306797290584
58,P07,Quality Inspection,M04,11.35,0.5,10.27,0.1189,2,0.6932,3.49,23.31,65.95,1,Morning,1,5,3,1,7.86782,0.9048450177576937,22.119999999999997,0.414961,0,3.1908877883280318,2.422144328051685
59,P03,Forming,M04,19.26,5.95,0.84,0.0762,17,0.5811,1.48,26.59,47.46,0,Afternoon,3,3,3,0,11.191986,0.04361368452041302,26.05,0.112776,0,3.3174533882291946,0.6097655716208943
60,P02,Cutting,M08,14.6,1.46,0.03,0.082,2,0.6762,3.1,16.21,75.51,0,Afternoon,3,1,7,0,9.87252,0.002054793113155402,16.09,0.25420000000000004,0,2.845490610223448,0.0295588022415444
61,P08,Packaging,M01,7.57,2.03,1.36,0.0786,42,0.3527,2.53,10.43,31.89,0,Night,2,4,0,2,2.6699390000000003,0.17965630164293048,10.959999999999999,0.19885799999999998,1,2.4362414778067194,0.8586616190375187
62,P04,Welding,M02,22.56,8.92,14.16,0.1518,50,0.7888,2.05,45.69,77.02,1,Morning,4,9,1,1,17.795327999999998,0.627659296250312,45.64,0.31118999999999997,1,3.8435300089828455,2.7186603802142257
63,P05,Surface Treatment,M06,18.63,0.5,1.79,0.1116,19,0.4284,0.96,22.49,29.9,1,Afternoon,2,8,5,0,7.981091999999999,0.09608153726165472,20.919999999999998,0.107136,0,3.1565747986708215,1.0260415958332743
64,P02,Cutting,M02,11.84,29.26,2.78,0.0518,4,0.6921,3.65,43.78,72.05,0,Afternoon,3,1,1,0,8.194464,0.23479709898893666,43.88,0.18907,0,3.8017616111706087,1.3297240096314962
65,P04,Welding,M06,18.63,1.87,7.74,0.2589,62,0.4778,0.31,28.07,9.7,1,Afternoon,3,9,5,0,8.901413999999999,0.4154587141928534,28.240000000000002,0.08025900000000001,1,3.3697067145707846,2.167910189667444
66,P05,Surface Treatment,M08,13.73,12.68,4.79,0.0756,23,0.4278,0.93,31.77,21.34,0,Night,3,8,7,2,5.873694,0.3488708311210261,31.2,0.07030800000000001,0,3.489513462710723,1.7561322915849038
67,P01,Raw Material Intake,M08,6.96,2.52,18.38,0.0675,47,0.7482,6.23,27.54,72.3,1,Afternoon,4,6,7,0,5.207472,2.6408008034471213,27.86,0.42052500000000004,1,3.3513066120486905,2.96424160646262
68,P04,Welding,M01,20.19,4.1,0.2,0.1896,1,0.7911,2.4,25.11,80.75,1,Morning,4,9,0,1,15.972309000000001,0.009905889100599752,24.49,0.45503999999999994,0,3.2623183827110376,0.18232155679395465
69,P01,Raw Material Intake,M08,6.4,0.5,13.76,0.1134,25,0.4794,3.72,20.77,39.65,1,Night,2,6,7,2,3.06816,2.149996640630249,20.66,0.421848,0,3.080532875246456,2.6919208191723265
70,P03,Forming,M09,17.85,0.9,2.89,0.1038,19,0.8494,2.28,21.55,67.74,1,Morning,2,3,8,1,15.161790000000002,0.16190467120186486,21.64,0.23666399999999999,0,3.1157350659486873,1.358409157630355
71,P03,Forming,M06,16.52,3.4,0.43,0.0383,36,0.3844,1.59,21.73,43.89,0,Night,4,3,5,2,6.350288,0.026029039933995197,20.349999999999998,0.06089700000000001,0,3.123685637864452,0.35767444427181594
72,P08,Packaging,M02,9.21,10.09,4.32,0.2098,46,0.4227,2.44,22.37,37.49,1,Afternoon,1,4,1,0,3.8930670000000007,0.4690548653041636,23.62,0.5119119999999999,1,3.1514531485507664,1.6714733033535532
73,P03,Forming,M10,16.48,0.99,1.36,0.1015,5,0.4313,0.1,17.67,2.75,1,Morning,1,3,9,1,7.107824000000001,0.08252422176928291,18.83,0.010150000000000001,0,2.9269179575536315,0.8586616190375187
74,P02,Cutting,M03,12.77,5.35,1.97,0.0711,5,0.2325,1.34,18.69,28.5,0,Afternoon,4,1,2,0,2.9690250000000002,0.1542676943870835,20.089999999999996,0.095274,0,2.9801108926510342,1.0885619528146082
75,P09,Storage,M05,3.3,7.61,6.11,0.0357,0,0.7395,12.73,15.79,70.07,0,Morning,3,7,4,1,2.44035,1.8515095408801794,17.02,0.45446100000000006,0,2.8207834710894493,1.9615022438151495
76,P05,Surface Treatment,M01,20.27,3.54,0.21,0.0943,14,0.7917,2.68,22.98,90.43,0,Morning,2,8,0,1,16.047759,0.01036013302410803,24.02,0.252724,0,3.177220149599368,0.19062035960864973
77,P05,Surface Treatment,M01,15.41,1.34,16.53,0.1194,35,0.6368,2.32,33.45,59.65,1,Night,5,8,0,2,9.813088,1.0726793817784674,33.28,0.277008,0,3.539508997459668,2.863913698933143
78,P05,Surface Treatment,M09,20.71,0.56,5.36,0.0868,16,0.5961,2.1,27.2,72.51,0,Night,1,8,8,2,12.345231,0.25881204306516514,26.63,0.18228000000000003,0,3.339321977944068,1.8500283773520307
79,P07,Quality Inspection,M03,9.36,1.76,20.94,0.1715,23,0.708,4.88,32.11,76.18,1,Morning,2,5,2,1,6.626879999999999,2.2371770970330163,32.06,0.83692,0,3.4998353515591547,3.088311454847084
80,P02,Cutting,M09,11.44,2.39,9.95,0.032,9,0.916,4.99,24.36,95.15,1,Afternoon,3,1,8,0,10.47904,0.8697544844803458,23.78,0.15968000000000002,0,3.233173129569025,2.3933394562625097
81,P05,Surface Treatment,M07,21.3,0.5,15.47,0.1014,4,0.4465,2.3,37.33,81.79,1,Afternoon,2,8,6,0,9.51045,0.7262907388306391,37.27,0.23321999999999998,0,3.6462328793924637,2.8015405441895487
82,P04,Welding,M02,23.08,2.55,75.21,0.1332,80,0.7838,1.69,101.64,65.17,1,Morning,1,9,1,1,18.090104,3.2586640993656415,100.83999999999999,0.225108,1,4.631227720307381,4.333492687678026
83,P08,Packaging,M10,8.4,4.5,7.89,0.2569,29,0.5671,2.48,21.23,34.73,1,Night,3,4,9,2,4.7636400000000005,0.9392845960897666,20.79,0.637112,0,3.101442727976105,2.1849270495258133
84,P04,Welding,M10,23.57,3.01,17.67,0.1832,5,0.7359,1.25,42.87,49.15,1,Afternoon,1,9,9,0,17.345163,0.7496814808309373,44.25,0.229,0,3.7812307151781224,2.9269179575536315
85,P02,Cutting,M03,16.01,2.92,2.95,0.1361,47,0.606,1.31,20.2,34.87,1,Morning,4,1,2,1,9.702060000000001,0.18425972251110398,21.88,0.178291,1,3.054001181677967,1.3737155789130306
86,P01,Raw Material Intake,M02,3.75,5.54,0.36,0.0457,5,0.408,5.26,9.02,32.85,0,Afternoon,2,6,1,0,1.5299999999999998,0.09599974400068266,9.649999999999999,0.24038199999999998,0,2.3045830956567186,0.3074846997479606
87,P04,Welding,M05,22.16,1.12,15.35,0.1016,54,0.8252,1.85,38.7,68.29,1,Night,5,9,4,2,18.286432,0.6926892181005333,38.63,0.18796,1,3.681351187693145,2.7942278973432626
88,P04,Welding,M06,23.12,1.49,31.01,0.1449,3,0.7431,1.04,54.9,40.03,1,Afternoon,3,9,5,0,17.180472,1.3412623956477527,55.620000000000005,0.150696,0,4.023564380161053,3.4660483539817717
89,P04,Welding,M07,21.8,4.27,16.72,0.1503,49,0.5,1.3,43.37,47.21,1,Morning,3,9,6,1,10.9,0.7669721252421443,42.79,0.19538999999999998,1,3.792563565390818,2.8746939451769347
90,P02,Cutting,M02,10.75,1.27,15.77,0.1287,7,0.3895,2.04,27.67,36.51,1,Night,5,1,1,2,4.187125,1.4669753795577865,27.79,0.262548,0,3.3558512798952784,2.8195915758351173
91,P05,Surface Treatment,M02,19.83,2.83,1.87,0.1089,4,0.7113,2.13,24.32,70.28,1,Morning,3,8,1,1,14.105079,0.09430151573297241,24.529999999999998,0.23195699999999997,0,3.2315945972759756,1.0543120297715298
92,P02,Cutting,M08,15.58,1.76,2.81,0.0602,19,0.3111,1.37,19.13,35.61,0,Night,2,1,7,2,4.846938,0.18035931940993621,20.15,0.082474,0,3.0022112396517002,1.3376291891386096
93,P05,Surface Treatment,M04,24.17,2.19,3.73,0.0574,5,0.2499,0.39,29.09,15.82,0,Afternoon,5,8,3,0,6.040083000000001,0.15432347773128766,30.090000000000003,0.022386,0,3.4041928906419536,1.5539252025038417
94,P05,Surface Treatment,M10,20.09,1.38,18.62,0.0572,37,0.7187,1.94,41.8,64.87,1,Morning,4,8,9,1,14.438683,0.9268288069543023,40.09,0.110968,0,3.756538102587751,2.976549454137217
95,P06,Assembly,M10,26.42,15.54,30.92,0.1621,91,0.8328,2.05,73.63,90.07,1,Afternoon,1,0,9,0,22.002576,1.1703250680071657,72.88,0.33230499999999996,1,4.312542571143296,3.463232772581608
96,P07,Quality Inspection,M08,10.6,10.7,2.23,0.139,68,0.7269,2.33,23.72,41.09,1,Afternoon,4,5,7,0,7.705139999999999,0.21037716002154716,23.529999999999998,0.32387000000000005,1,3.20761263258949,1.172482137234565
97,P04,Welding,M03,15.81,0.96,2.07,0.1849,4,0.6646,1.68,17.59,44.19,1,Morning,4,9,2,1,10.507325999999999,0.1309297084568574,18.84,0.310632,0,2.922623801733353,1.1216775615991057
98,P09,Storage,M09,2.7,16.07,3.25,0.074,2,0.6772,14.06,21.12,63.23,0,Morning,3,7,8,1,1.8284400000000003,1.2036992455583497,22.02,1.04044,0,3.096482176654134,1.4469189829363254
99,P10,Dispatch,M09,4.49,13.18,5.63,0.0733,5,0.8502,10.83,23.67,81.05,0,Morning,3,2,8,1,3.817398,1.2538947574727006,23.3,0.7938390000000001,0,3.2055879305412653,1.891604804197771
100,P06,Assembly,M06,33.0,20.89,55.42,0.174,35,0.6657,0.1,109.38,5.5,1,Afternoon,5,0,5,0,21.9681,1.6793934304868392,109.31,0.0174,0,4.703928958011355,4.0328237055738505
101,P07,Quality Inspection,M09,8.76,3.1,0.19,0.1709,11,0.5389,3.79,13.23,55.24,1,Afternoon,2,5,8,0,4.720764,0.021689472957222653,12.049999999999999,0.647711,0,2.655352412101761,0.17395330712343804
102,P10,Dispatch,M10,4.39,0.5,6.85,0.0504,41,0.7961,9.62,9.98,70.41,0,Afternoon,5,2,9,0,3.494879,1.560360910339612,11.739999999999998,0.48484799999999995,1,2.3960754360813845,2.060513531794317
103,P10,Dispatch,M06,4.61,2.45,2.57,0.0632,5,0.5921,6.89,9.33,52.91,0,Morning,3,2,5,1,2.729581,0.5574825217298878,9.63,0.435448,0,2.3350522831315472,1.2725655957915476
104,P06,Assembly,M08,25.33,2.03,30.73,0.1823,7,0.8873,2.48,58.73,104.5,1,Night,4,0,7,2,22.475309,1.2131854665671273,58.09,0.45210399999999995,0,4.089834406744215,3.4572626055951043
105,P06,Assembly,M01,34.31,7.7,2.52,0.1067,44,0.9113,0.84,44.67,47.83,1,Morning,5,0,0,1,31.266703000000003,0.07344795294434481,44.53000000000001,0.089628,1,3.821441627196908,1.2584609896100056
106,P03,Forming,M10,9.69,9.58,1.28,0.0873,55,0.498,2.86,20.7,46.25,0,Morning,1,3,9,1,4.82562,0.1320948069197039,20.55,0.24967799999999998,1,3.077312260546414,0.8241754429663494
107,P06,Assembly,M09,28.83,15.69,1.43,0.239,118,0.509,0.4,45.42,19.44,1,Morning,2,0,8,1,14.67447,0.049601092750227976,45.949999999999996,0.0956,1,3.837730400846291,0.8878912573524571
108,P09,Storage,M05,2.99,3.8,2.65,0.1377,66,0.647,11.63,8.52,58.0,1,Night,2,7,4,2,1.9345300000000003,0.8862846612553135,9.44,1.601451,1,2.253394848803274,1.2947271675944
109,P05,Surface Treatment,M03,14.98,2.06,1.85,0.1406,15,0.6339,1.48,19.13,37.04,1,Afternoon,2,8,2,0,9.495822,0.12349791488790729,18.89,0.208088,0,3.0022112396517002,1.0473189942805592
110,P01,Raw Material Intake,M10,6.43,0.91,14.57,0.1024,21,0.4694,3.61,21.84,38.67,1,Night,5,6,9,2,3.018242,2.265937378013409,21.91,0.369664,0,3.1285133847878095,2.745345985845907
111,P04,Welding,M10,24.65,3.66,4.59,0.1156,73,0.569,0.86,32.72,35.21,1,Morning,4,9,9,1,14.025849999999998,0.18620682101143166,32.9,0.09941599999999999,1,3.518091133133655,1.7209792871670078
112,P07,Quality Inspection,M09,16.39,2.53,1.96,0.0992,22,0.5152,0.32,21.94,8.73,0,Afternoon,2,5,8,0,8.444128000000001,0.11958503991150707,20.880000000000003,0.031744,0,3.1328821117012247,1.085189268335969
113,P07,Quality Inspection,M03,11.58,0.92,14.15,0.1325,85,0.797,4.15,25.59,80.16,1,Afternoon,2,5,2,0,9.22926,1.2219333143926474,26.65,0.5498750000000001,1,3.2805352052549286,2.7180005319553784
114,P04,Welding,M06,19.84,19.51,21.35,0.1756,86,0.8314,2.32,60.46,76.54,1,Morning,4,9,5,1,16.494976,1.0761083285744313,60.7,0.407392,1,4.1183865567023386,3.106826321059578
115,P09,Storage,M02,2.9,2.21,3.41,0.1959,34,0.6012,9.79,10.14,47.34,1,Afternoon,1,7,1,0,1.74348,1.1758580142827095,8.52,1.9178609999999998,0,2.410542234499138,1.4838746894587547
116,P05,Surface Treatment,M03,16.84,0.5,6.72,0.0867,3,0.7274,3.1,23.55,86.9,0,Night,1,8,2,2,12.249416,0.39904964426980744,24.06,0.26877,0,3.2007118542405295,2.0438143640366846
117,P07,Quality Inspection,M09,11.27,1.51,47.55,0.2296,30,0.6213,2.28,60.23,42.84,1,Afternoon,2,5,8,0,7.002050999999999,4.219162183529562,60.33,0.523488,0,4.114637265489863,3.882594194737334
118,P06,Assembly,M07,26.94,18.02,34.98,0.1097,38,0.9367,1.73,79.82,77.5,1,Morning,1,0,6,1,25.234698,1.2984404979805129,79.94,0.189781,0,4.392224459650327,3.582963228522387
119,P08,Packaging,M04,7.65,1.79,4.56,0.0615,46,0.5072,4.1,13.35,52.28,0,Morning,3,4,3,1,3.88008,0.5960776521860756,14.0,0.25215,1,2.66374994220563,1.715598108262491
120,P02,Cutting,M05,10.24,8.9,4.57,0.0843,16,0.8758,4.36,24.22,74.32,0,Night,5,1,4,2,8.968192,0.44628862667126307,23.71,0.36754800000000004,0,3.2276373305367736,1.7173950539391927
121,P06,Assembly,M08,31.87,14.79,11.78,0.1553,13,0.7649,0.9,56.9,48.05,1,Night,2,0,7,2,24.377363000000003,0.36962649211594223,58.44,0.13977,0,4.05871738457895,2.5478814489493886
122,P01,Raw Material Intake,M06,4.78,1.09,4.72,0.0367,0,0.2388,2.6,8.71,20.7,0,Night,1,6,5,2,1.141464,0.9874456329589268,10.59,0.09542000000000002,0,2.2731562823032334,1.7439688053917064
123,P08,Packaging,M05,8.18,1.67,8.52,0.1493,22,0.6615,4.87,17.67,66.37,1,Night,5,4,4,2,5.41107,1.041563518871004,18.369999999999997,0.7270909999999999,0,2.9269179575536315,2.253394848803274
