Record_ID,Process_ID,Process_Name,Machine_ID,Cycle_Time_min,Setup_Time_min,Waiting_Time_min,Defect_Rate,Inventory_Level,Machine_Utilization,Production_Output_units_hr,Lead_Time_min,Efficiency_Score,Is_Bottleneck,Shift,Day_Of_Week
26,P10,Dispatch,M08,4.12,2.04,0.93,0.0993,8,0.582,7.6,8.83,52.25,0,Morning,5
27,P03,Forming,M06,10.52,14.96,6.47,0.0435,0,0.6125,3.49,30.85,61.18,0,Morning,3
28,P01,Raw Material Intake,M01,2.55,1.6,0.29,0.0596,57,0.632,13.2,4.56,56.04,0,Morning,1
29,P08,Packaging,M02,8.82,2.22,0.6,0.0822,38,0.5792,3.94,13.01,57.9,0,Afternoon,3
30,P07,Quality Inspection,M06,10.41,4.68,20.25,0.1426,29,0.6464,2.25,35.14,39.09,1,Night,1
31,P04,Welding,M08,25.68,0.5,19.39,0.1059,38,0.9222,2.21,44.66,94.44,1,Afternoon,3
32,P02,Cutting,M10,13.48,2.12,2.14,0.0606,44,0.9018,3.19,19.69,71.68,1,Afternoon,3
33,P01,Raw Material Intake,M10,4.8,10.14,0.44,0.1013,5,0.3943,4.86,15.85,38.9,1,Afternoon,4
34,P02,Cutting,M10,9.19,0.55,6.69,0.0399,15,0.6582,3.07,16.13,47.02,0,Afternoon,2
35,P08,Packaging,M08,11.48,2.83,0.68,0.0703,8,0.5636,2.51,14.36,48.02,0,Morning,3
36,P08,Packaging,M07,9.28,0.5,18.46,0.0904,15,0.7062,4.4,27.32,68.05,1,Afternoon,4
37,P01,Raw Material Intake,M10,5.64,7.3,0.46,0.1337,9,0.9404,8.38,13.66,78.72,1,Morning,1
38,P01,Raw Material Intake,M09,4.28,2.65,2.15,0.1215,1,0.4315,5.02,9.66,35.79,1,Morning,5
39,P05,Surface Treatment,M05,20.35,11.92,1.9,0.0517,45,0.9573,3.43,32.96,116.41,1,Afternoon,5
40,P08,Packaging,M08,5.42,4.89,0.62,0.0941,31,0.3751,3.53,10.08,31.9,0,Morning,1
41,P04,Welding,M06,19.79,7.03,2.17,0.2831,34,0.5404,1.84,30.99,60.68,1,Afternoon,3
42,P05,Surface Treatment,M04,11.6,3.1,14.71,0.1779,0,0.8003,3.77,29.63,72.8,1,Morning,4
43,P10,Dispatch,M09,5.44,2.76,6.67,0.0578,2,0.7524,8.35,14.29,75.75,0,Morning,1
44,P03,Forming,M04,17.47,2.13,2.13,0.1195,3,0.5529,2.6,22.85,75.6,1,Morning,5
45,P01,Raw Material Intake,M07,4.96,4.07,9.85,0.1245,10,0.5424,6.31,17.46,52.15,1,Night,3
46,P02,Cutting,M01,15.52,7.47,3.02,0.0317,3,0.6517,2.86,24.68,73.87,0,Afternoon,4
47,P02,Cutting,M07,11.79,1.25,1.31,0.1015,5,0.5256,1.93,13.99,37.99,1,Afternoon,5
48,P07,Quality Inspection,M02,12.32,0.5,1.79,0.1807,85,0.7189,3.25,13.19,66.66,1,Afternoon,1
49,P02,Cutting,M05,12.51,7.21,0.75,0.0793,11,0.5298,1.49,19.85,30.96,0,Night,4
50,P10,Dispatch,M10,4.58,11.54,5.88,0.135,13,0.6654,7.09,21.09,54.13,1,Afternoon,2
51,P09,Storage,M05,1.9,3.66,0.24,0.0513,5,0.7402,21.55,6.37,68.08,0,Afternoon,5
52,P08,Packaging,M01,5.19,1.57,3.88,0.1112,3,0.2502,3.4,9.94,29.4,1,Afternoon,1
53,P07,Quality Inspection,M03,11.0,5.93,6.35,0.1836,7,0.8532,3.69,23.66,67.58,1,Night,5
54,P06,Assembly,M06,28.05,19.71,46.74,0.1997,2,0.2907,0.1,95.11,4.68,1,Morning,3
55,P07,Quality Inspection,M02,12.71,5.17,21.01,0.0822,37,0.7408,2.26,40.93,47.82,1,Afternoon,1
56,P10,Dispatch,M02,5.49,0.5,10.2,0.13,8,0.3267,2.89,17.64,26.39,1,Afternoon,5
57,P01,Raw Material Intake,M01,4.7,1.69,1.76,0.0627,22,0.6322,7.15,8.1,56.02,0,Afternoon,1
58,P07,Quality Inspection,M04,11.35,0.5,10.27,0.1189,2,0.6932,3.49,23.31,65.95,1,Morning,1
59,P03,Forming,M04,19.26,5.95,0.84,0.0762,17,0.5811,1.48,26.59,47.46,0,Afternoon,3
60,P02,Cutting,M08,14.6,1.46,0.03,0.082,2,0.6762,3.1,16.21,75.51,0,Afternoon,3
61,P08,Packaging,M01,7.57,2.03,1.36,0.0786,42,0.3527,2.53,10.43,31.89,0,Night,2
62,P04,Welding,M02,22.56,8.92,14.16,0.1518,50,0.7888,2.05,45.69,77.02,1,Morning,4
63,P05,Surface Treatment,M06,18.63,0.5,1.79,0.1116,19,0.4284,0.96,22.49,29.9,1,Afternoon,2
64,P02,Cutting,M02,11.84,29.26,2.78,0.0518,4,0.6921,3.65,43.78,72.05,0,Afternoon,3
65,P04,Welding,M06,18.63,1.87,7.74,0.2589,62,0.4778,0.31,28.07,9.7,1,Afternoon,3
66,P05,Surface Treatment,M08,13.73,12.68,4.79,0.0756,23,0.4278,0.93,31.77,21.34,0,Night,3
67,P01,Raw Material Intake,M08,6.96,2.52,18.38,0.0675,47,0.7482,6.23,27.54,72.3,1,Afternoon,4
68,P04,Welding,M01,20.19,4.1,0.2,0.1896,1,0.7911,2.4,25.11,80.75,1,Morning,4
69,P01,Raw Material Intake,M08,6.4,0.5,13.76,0.1134,25,0.4794,3.72,20.77,39.65,1,Night,2
70,P03,Forming,M09,17.85,0.9,2.89,0.1038,19,0.8494,2.28,21.55,67.74,1,Morning,2
71,P03,Forming,M06,16.52,3.4,0.43,0.0383,36,0.3844,1.59,21.73,43.89,0,Night,4
72,P08,Packaging,M02,9.21,10.09,4.32,0.2098,46,0.4227,2.44,22.37,37.49,1,Afternoon,1
73,P03,Forming,M10,16.48,0.99,1.36,0.1015,5,0.4313,0.1,17.67,2.75,1,Morning,1
74,P02,Cutting,M03,12.77,5.35,1.97,0.0711,5,0.2325,1.34,18.69,28.5,0,Afternoon,4
75,P09,Storage,M05,3.3,7.61,6.11,0.0357,0,0.7395,12.73,15.79,70.07,0,Morning,3
76,P05,Surface Treatment,M01,20.27,3.54,0.21,0.0943,14,0.7917,2.68,22.98,90.43,0,Morning,2
77,P05,Surface Treatment,M01,15.41,1.34,16.53,0.1194,35,0.6368,2.32,33.45,59.65,1,Night,5
78,P05,Surface Treatment,M09,20.71,0.56,5.36,0.0868,16,0.5961,2.1,27.2,72.51,0,Night,1
79,P07,Quality Inspection,M03,9.36,1.76,20.94,0.1715,23,0.708,4.88,32.11,76.18,1,Morning,2
80,P02,Cutting,M09,11.44,2.39,9.95,0.032,9,0.916,4.99,24.36,95.15,1,Afternoon,3
81,P05,Surface Treatment,M07,21.3,0.5,15.47,0.1014,4,0.4465,2.3,37.33,81.79,1,Afternoon,2
82,P04,Welding,M02,23.08,2.55,75.21,0.1332,80,0.7838,1.69,101.64,65.17,1,Morning,1
83,P08,Packaging,M10,8.4,4.5,7.89,0.2569,29,0.5671,2.48,21.23,34.73,1,Night,3
84,P04,Welding,M10,23.57,3.01,17.67,0.1832,5,0.7359,1.25,42.87,49.15,1,Afternoon,1
85,P02,Cutting,M03,16.01,2.92,2.95,0.1361,47,0.606,1.31,20.2,34.87,1,Morning,4
86,P01,Raw Material Intake,M02,3.75,5.54,0.36,0.0457,5,0.408,5.26,9.02,32.85,0,Afternoon,2
87,P04,Welding,M05,22.16,1.12,15.35,0.1016,54,0.8252,1.85,38.7,68.29,1,Night,5
88,P04,Welding,M06,23.12,1.49,31.01,0.1449,3,0.7431,1.04,54.9,40.03,1,Afternoon,3
89,P04,Welding,M07,21.8,4.27,16.72,0.1503,49,0.5,1.3,43.37,47.21,1,Morning,3
90,P02,Cutting,M02,10.75,1.27,15.77,0.1287,7,0.3895,2.04,27.67,36.51,1,Night,5
91,P05,Surface Treatment,M02,19.83,2.83,1.87,0.1089,4,0.7113,2.13,24.32,70.28,1,Morning,3
92,P02,Cutting,M08,15.58,1.76,2.81,0.0602,19,0.3111,1.37,19.13,35.61,0,Night,2
93,P05,Surface Treatment,M04,24.17,2.19,3.73,0.0574,5,0.2499,0.39,29.09,15.82,0,Afternoon,5
94,P05,Surface Treatment,M10,20.09,1.38,18.62,0.0572,37,0.7187,1.94,41.8,64.87,1,Morning,4
95,P06,Assembly,M10,26.42,15.54,30.92,0.1621,91,0.8328,2.05,73.63,90.07,1,Afternoon,1
96,P07,Quality Inspection,M08,10.6,10.7,2.23,0.139,68,0.7269,2.33,23.72,41.09,1,Afternoon,4
97,P04,Welding,M03,15.81,0.96,2.07,0.1849,4,0.6646,1.68,17.59,44.19,1,Morning,4
98,P09,Storage,M09,2.7,16.07,3.25,0.074,2,0.6772,14.06,21.12,63.23,0,Morning,3
99,P10,Dispatch,M09,4.49,13.18,5.63,0.0733,5,0.8502,10.83,23.67,81.05,0,Morning,3
100,P06,Assembly,M06,33.0,20.89,55.42,0.174,35,0.6657,0.1,109.38,5.5,1,Afternoon,5
101,P07,Quality Inspection,M09,8.76,3.1,0.19,0.1709,11,0.5389,3.79,13.23,55.24,1,Afternoon,2
102,P10,Dispatch,M10,4.39,0.5,6.85,0.0504,41,0.7961,9.62,9.98,70.41,0,Afternoon,5
103,P10,Dispatch,M06,4.61,2.45,2.57,0.0632,5,0.5921,6.89,9.33,52.91,0,Morning,3
104,P06,Assembly,M08,25.33,2.03,30.73,0.1823,7,0.8873,2.48,58.73,104.5,1,Night,4
105,P06,Assembly,M01,34.31,7.7,2.52,0.1067,44,0.9113,0.84,44.67,47.83,1,Morning,5
106,P03,Forming,M10,9.69,9.58,1.28,0.0873,55,0.498,2.86,20.7,46.25,0,Morning,1
107,P06,Assembly,M09,28.83,15.69,1.43,0.239,118,0.509,0.4,45.42,19.44,1,Morning,2
108,P09,Storage,M05,2.99,3.8,2.65,0.1377,66,0.647,11.63,8.52,58.0,1,Night,2
109,P05,Surface Treatment,M03,14.98,2.06,1.85,0.1406,15,0.6339,1.48,19.13,37.04,1,Afternoon,2
110,P01,Raw Material Intake,M10,6.43,0.91,14.57,0.1024,21,0.4694,3.61,21.84,38.67,1,Night,5
111,P04,Welding,M10,24.65,3.66,4.59,0.1156,73,0.569,0.86,32.72,35.21,1,Morning,4
112,P07,Quality Inspection,M09,16.39,2.53,1.96,0.0992,22,0.5152,0.32,21.94,8.73,0,Afternoon,2
113,P07,Quality Inspection,M03,11.58,0.92,14.15,0.1325,85,0.797,4.15,25.59,80.16,1,Afternoon,2
114,P04,Welding,M06,19.84,19.51,21.35,0.1756,86,0.8314,2.32,60.46,76.54,1,Morning,4
115,P09,Storage,M02,2.9,2.21,3.41,0.1959,34,0.6012,9.79,10.14,47.34,1,Afternoon,1
116,P05,Surface Treatment,M03,16.84,0.5,6.72,0.0867,3,0.7274,3.1,23.55,86.9,0,Night,1
117,P07,Quality Inspection,M09,11.27,1.51,47.55,0.2296,30,0.6213,2.28,60.23,42.84,1,Afternoon,2
118,P06,Assembly,M07,26.94,18.02,34.98,0.1097,38,0.9367,1.73,79.82,77.5,1,Morning,1
119,P08,Packaging,M04,7.65,1.79,4.56,0.0615,46,0.5072,4.1,13.35,52.28,0,Morning,3
120,P02,Cutting,M05,10.24,8.9,4.57,0.0843,16,0.8758,4.36,24.22,74.32,0,Night,5
121,P06,Assembly,M08,31.87,14.79,11.78,0.1553,13,0.7649,0.9,56.9,48.05,1,Night,2
122,P01,Raw Material Intake,M06,4.78,1.09,4.72,0.0367,0,0.2388,2.6,8.71,20.7,0,Night,1
123,P08,Packaging,M05,8.18,1.67,8.52,0.1493,22,0.6615,4.87,17.67,66.37,1,Night,5
124,P05,Surface Treatment,M01,16.26,1.49,0.31,0.1104,12,0.6512,1.64,18.57,44.56,1,Afternoon,1
125,P10,Dispatch,M02,4.83,10.95,4.57,0.0531,3,0.6249,7.51,22.25,60.44,0,Afternoon,5
126,P10,Dispatch,M05,5.16,2.1,6.53,0.0538,22,0.5431,5.64,14.32,48.5,0,Night,1
127,P07,Quality Inspection,M08,10.98,11.02,0.25,0.1322,35,0.8573,3.99,22.68,72.98,1,Afternoon,2
128,P03,Forming,M01,18.67,4.34,4.1,0.115,4,0.847,1.68,27.07,52.39,1,Morning,2
129,P05,Surface Treatment,M10,13.76,2.35,3.21,0.0994,18,0.5187,2.37,18.83,54.24,0,Morning,2
130,P03,Forming,M10,14.5,1.58,16.97,0.0665,11,0.3435,1.88,35.0,45.36,1,Afternoon,5
131,P07,Quality Inspection,M05,10.17,6.2,47.49,0.124,30,0.7814,4.85,63.5,82.25,1,Morning,1
132,P03,Forming,M03,20.9,3.6,0.49,0.0753,14,0.1394,1.05,24.16,36.63,0,Night,3
133,P02,Cutting,M03,15.64,8.21,3.24,0.0446,5,0.7781,3.97,27.55,103.54,0,Afternoon,4
134,P02,Cutting,M09,9.85,15.79,0.04,0.0604,0,0.5684,3.61,26.48,59.28,0,Afternoon,1
135,P04,Welding,M03,23.02,4.75,1.86,0.1122,3,0.6873,0.64,29.84,24.69,1,Morning,2
136,P10,Dispatch,M06,3.39,1.32,1.65,0.0649,7,0.5739,8.87,4.71,50.17,0,Afternoon,1
137,P07,Quality Inspection,M07,12.41,10.08,12.1,0.1385,31,0.7883,2.94,36.15,60.72,1,Morning,2
138,P02,Cutting,M08,10.74,6.9,1.91,0.1094,24,0.4649,1.88,19.28,33.64,1,Morning,3
139,P02,Cutting,M04,10.13,7.78,11.12,0.1419,1,0.3241,1.91,28.22,32.22,1,Afternoon,1
140,P08,Packaging,M01,8.64,1.57,3.23,0.1449,12,0.4039,2.71,13.14,39.08,1,Afternoon,4
141,P02,Cutting,M09,12.79,5.36,3.2,0.078,6,0.7539,2.67,22.98,56.83,0,Afternoon,1
142,P04,Welding,M05,16.49,0.5,2.36,0.0948,23,0.7,0.99,21.76,27.11,0,Morning,3
143,P09,Storage,M04,3.47,0.5,2.53,0.0688,2,0.4577,6.81,6.04,39.36,0,Afternoon,5
144,P09,Storage,M01,2.49,5.13,4.23,0.1217,22,0.7295,16.0,11.38,66.46,1,Night,5
145,P09,Storage,M02,2.76,4.62,3.21,0.1077,5,0.7329,13.87,11.22,63.85,1,Afternoon,2
146,P09,Storage,M10,2.72,1.62,19.99,0.1205,8,0.7396,14.36,24.78,65.19,1,Afternoon,1
147,P08,Packaging,M06,8.32,2.69,1.8,0.0584,19,0.3609,2.42,13.92,33.58,0,Night,4
148,P01,Raw Material Intake,M01,4.57,16.17,1.1,0.1228,11,0.5922,6.49,22.39,49.42,1,Night,2
149,P01,Raw Material Intake,M05,4.42,15.28,17.06,0.1589,5,0.7589,8.82,37.81,64.96,1,Night,4
150,P05,Surface Treatment,M10,16.24,3.61,8.26,0.1264,0,0.3648,1.49,30.37,40.19,1,Morning,3
151,P03,Forming,M01,14.08,2.94,1.61,0.2207,46,0.3638,0.67,19.34,15.61,1,Afternoon,3
152,P08,Packaging,M03,5.08,9.15,0.78,0.056,43,0.6123,6.43,14.58,54.44,0,Afternoon,3
153,P04,Welding,M10,20.35,14.13,14.14,0.2254,59,0.626,0.54,48.94,18.34,1,Afternoon,5
154,P05,Surface Treatment,M09,15.57,18.07,1.28,0.1092,26,0.3798,0.73,34.67,18.93,1,Morning,5
155,P09,Storage,M03,3.68,1.0,2.32,0.2331,15,0.3884,5.18,5.5,31.78,1,Morning,1
156,P05,Surface Treatment,M05,18.12,3.56,2.3,0.0553,12,0.537,2.14,24.82,64.68,0,Morning,5
157,P06,Assembly,M06,21.91,5.47,3.42,0.1654,39,0.9155,1.89,31.11,69.12,1,Night,1
158,P02,Cutting,M07,13.86,8.49,3.95,0.0568,39,0.4518,2.54,25.83,58.63,0,Morning,3
159,P09,Storage,M05,2.48,0.5,1.88,0.0933,4,0.6084,13.28,5.56,54.93,0,Night,5
160,P06,Assembly,M08,21.48,2.83,23.13,0.1975,51,0.8216,2.1,47.04,75.26,1,Morning,2
161,P10,Dispatch,M09,5.26,19.65,0.35,0.0485,10,0.5438,5.15,24.61,45.18,0,Morning,1
162,P03,Forming,M02,17.85,17.29,4.63,0.052,19,0.3824,1.73,38.64,51.33,0,Afternoon,5
163,P04,Welding,M01,16.33,0.62,11.92,0.0977,73,0.3843,1.58,28.71,43.13,0,Afternoon,3
164,P01,Raw Material Intake,M10,6.12,1.04,5.58,0.0881,49,0.6281,4.81,12.77,49.08,0,Afternoon,1
165,P09,Storage,M10,2.95,6.03,1.14,0.142,0,0.7706,12.6,11.4,61.89,1,Morning,2
166,P06,Assembly,M03,15.86,7.73,10.13,0.1308,11,0.5319,1.55,33.3,41.09,1,Night,3
167,P06,Assembly,M10,31.81,3.46,15.32,0.17,76,0.5295,0.59,50.56,31.41,1,Morning,1
168,P07,Quality Inspection,M03,13.5,1.51,3.47,0.1026,57,0.8502,2.83,21.43,63.73,1,Morning,2
169,P04,Welding,M08,24.98,7.79,7.36,0.1105,104,0.802,1.9,39.81,78.98,1,Afternoon,1
170,P07,Quality Inspection,M03,9.57,1.75,12.29,0.1514,28,0.7991,4.81,24.0,76.75,1,Morning,3
171,P10,Dispatch,M03,3.16,1.38,2.19,0.0871,5,0.6521,11.35,7.18,59.83,0,Afternoon,1
172,P01,Raw Material Intake,M03,4.15,7.0,1.14,0.148,58,0.6306,7.76,12.31,53.7,1,Morning,2
173,P01,Raw Material Intake,M03,5.4,1.14,3.54,0.0809,12,0.6659,7.43,10.22,66.8,0,Night,1
174,P03,Forming,M03,15.8,3.57,8.59,0.0408,20,0.715,2.27,26.62,59.72,0,Afternoon,4
175,P04,Welding,M09,19.65,20.01,11.97,0.1574,2,0.6611,1.26,53.09,41.21,1,Morning,3
176,P10,Dispatch,M02,4.79,0.5,8.16,0.2547,17,0.4833,4.82,13.86,38.51,1,Afternoon,5
177,P07,Quality Inspection,M09,8.28,2.13,9.91,0.1294,74,0.5818,4.49,19.66,61.97,1,Morning,3
178,P09,Storage,M08,3.62,10.15,6.44,0.0835,11,0.7373,11.47,22.4,69.21,0,Afternoon,5
179,P01,Raw Material Intake,M05,5.53,5.93,1.23,0.0431,30,0.3998,3.65,10.73,33.61,0,Morning,5
180,P05,Surface Treatment,M03,19.6,9.76,7.66,0.1544,11,0.336,0.68,39.47,22.16,1,Morning,5
181,P01,Raw Material Intake,M03,3.82,0.5,2.23,0.0917,5,0.6416,9.68,8.58,61.69,0,Afternoon,5
182,P10,Dispatch,M03,5.14,7.07,2.92,0.1139,52,0.4496,3.6,16.25,30.83,1,Afternoon,1
183,P02,Cutting,M07,13.32,9.96,0.58,0.0947,73,0.7037,2.2,23.47,48.88,0,Morning,2
184,P01,Raw Material Intake,M02,6.55,9.11,8.12,0.1609,3,0.7978,6.03,22.04,65.82,1,Morning,5
185,P08,Packaging,M10,9.78,0.5,4.67,0.0508,4,0.4105,2.43,14.43,39.58,0,Night,1
186,P01,Raw Material Intake,M10,4.8,13.9,0.44,0.0682,12,0.5573,6.45,19.63,51.68,0,Morning,3
187,P08,Packaging,M08,7.39,2.2,5.6,0.0656,8,0.818,6.13,14.83,75.51,0,Afternoon,3
188,P07,Quality Inspection,M01,10.6,2.91,83.0,0.2576,10,0.9408,4.04,95.48,71.38,1,Night,4
189,P10,Dispatch,M05,6.7,3.39,3.3,0.0803,7,0.6078,5.18,15.3,57.82,0,Afternoon,4
190,P07,Quality Inspection,M08,13.25,2.33,21.67,0.171,12,0.7955,3.02,37.7,66.7,1,Morning,3
191,P10,Dispatch,M03,4.7,6.54,4.26,0.1299,17,0.1914,2.96,14.17,23.16,1,Morning,1
192,P01,Raw Material Intake,M08,4.39,3.33,12.68,0.0731,12,0.4294,5.17,21.78,37.87,0,Night,5
193,P05,Surface Treatment,M05,18.47,1.29,5.54,0.0802,6,0.5262,1.95,24.87,60.06,0,Night,1
194,P09,Storage,M08,1.77,1.65,0.95,0.1752,2,0.3725,10.32,5.04,30.47,1,Morning,5
195,P03,Forming,M06,14.26,2.71,1.73,0.065,4,0.587,3.14,19.38,74.61,0,Morning,5
196,P04,Welding,M10,19.02,6.29,24.5,0.1118,15,0.8291,2.64,49.62,83.79,1,Morning,1
197,P08,Packaging,M08,6.97,12.22,1.05,0.0401,6,0.5307,4.33,20.97,50.28,0,Morning,4
198,P07,Quality Inspection,M04,10.89,1.88,23.49,0.116,28,0.5261,2.95,34.64,53.58,1,Afternoon,5
199,P08,Packaging,M09,5.44,0.5,1.23,0.0557,14,0.417,3.32,6.98,30.09,0,Night,2
200,P05,Surface Treatment,M07,16.9,2.24,0.48,0.0454,24,0.6471,2.53,20.41,71.31,0,Afternoon,5
201,P06,Assembly,M10,21.51,0.78,2.46,0.2171,42,0.6443,1.56,24.26,55.92,1,Morning,2
202,P01,Raw Material Intake,M06,5.42,3.14,3.29,0.0701,34,0.4193,5.29,9.37,47.83,0,Morning,2
203,P02,Cutting,M04,10.42,4.13,6.27,0.0957,55,0.4653,3.0,20.49,52.15,0,Night,5
204,P01,Raw Material Intake,M07,4.53,2.19,2.67,0.0866,4,0.7801,9.28,7.88,70.15,0,Afternoon,3
205,P09,Storage,M07,3.19,1.25,10.87,0.143,15,0.2615,4.33,15.06,23.04,1,Afternoon,2
206,P04,Welding,M07,8.63,1.44,15.86,0.146,40,0.6072,4.15,25.2,59.65,1,Night,3
207,P06,Assembly,M01,21.68,2.56,30.58,0.1511,6,0.5092,0.62,54.53,22.24,1,Morning,1
208,P10,Dispatch,M10,4.81,0.53,0.08,0.0727,0,0.5514,6.2,4.82,49.7,0,Morning,1
209,P03,Forming,M02,14.68,9.76,6.57,0.0585,16,0.6616,1.84,31.07,45.14,0,Morning,5
210,P01,Raw Material Intake,M01,5.64,13.32,0.5,0.065,4,0.5314,4.96,18.42,46.6,0,Afternoon,3
211,P10,Dispatch,M05,3.37,8.18,7.14,0.0875,10,0.5031,7.7,19.3,43.25,0,Afternoon,5
212,P04,Welding,M06,14.94,0.65,2.36,0.1031,39,0.7262,2.43,18.2,60.48,1,Morning,2
213,P03,Forming,M09,6.14,3.54,5.08,0.0487,13,0.5578,5.46,17.19,55.9,0,Morning,1
214,P01,Raw Material Intake,M01,6.18,7.84,4.61,0.1289,66,0.7017,5.76,19.31,59.35,1,Morning,1
215,P06,Assembly,M10,24.72,1.45,21.02,0.1306,288,0.8728,1.88,46.89,77.51,1,Night,4
216,P07,Quality Inspection,M02,12.89,0.96,7.02,0.0852,34,0.7579,2.83,20.69,60.77,0,Morning,4
217,P04,Welding,M06,23.09,3.73,23.94,0.1466,145,0.736,1.51,50.8,58.23,1,Afternoon,1
218,P07,Quality Inspection,M07,10.4,12.9,12.35,0.1264,17,0.6116,2.13,35.78,36.91,1,Night,2
219,P05,Surface Treatment,M09,21.33,2.47,3.27,0.064,12,0.8518,2.38,28.13,84.56,0,Afternoon,1
220,P03,Forming,M03,12.63,4.25,1.48,0.1086,29,0.3664,1.53,18.65,32.25,1,Afternoon,3
221,P10,Dispatch,M07,3.5,4.4,3.9,0.1164,20,0.7712,12.11,12.04,70.58,1,Night,3
222,P04,Welding,M06,24.04,2.06,56.8,0.1773,89,0.7161,1.65,81.71,65.93,1,Morning,1
223,P07,Quality Inspection,M07,12.17,1.91,17.34,0.2149,9,0.8013,3.25,31.4,66.03,1,Morning,3
224,P05,Surface Treatment,M06,16.11,8.4,14.11,0.0767,10,0.5492,1.41,37.78,37.76,0,Morning,1
225,P07,Quality Inspection,M02,11.35,10.28,17.21,0.2188,41,0.5939,2.34,37.69,44.3,1,Afternoon,1
226,P07,Quality Inspection,M10,10.55,1.12,7.57,0.1268,56,0.8472,2.96,18.26,52.06,1,Night,1
227,P10,Dispatch,M01,5.4,4.81,2.09,0.094,0,0.7068,6.98,12.67,62.85,0,Night,2
228,P04,Welding,M02,20.91,1.54,14.01,0.133,14,0.6899,1.51,36.43,52.69,1,Night,5
229,P07,Quality Inspection,M05,10.28,1.29,21.96,0.2766,11,0.7136,2.73,31.16,46.82,1,Night,4
230,P04,Welding,M03,18.65,0.5,1.48,0.2029,160,0.7846,1.77,21.44,54.95,1,Morning,4
231,P09,Storage,M01,3.39,5.71,0.91,0.1146,52,0.5555,8.11,9.84,45.78,1,Night,1
232,P08,Packaging,M04,7.33,4.33,0.11,0.09,13,0.3272,2.99,11.11,36.59,0,Afternoon,1
233,P07,Quality Inspection,M03,10.09,1.27,10.19,0.1536,27,0.7412,3.97,21.72,66.73,1,Morning,3
234,P08,Packaging,M06,7.41,2.58,3.67,0.0505,59,0.8553,7.14,11.92,88.27,0,Afternoon,1
235,P05,Surface Treatment,M09,15.78,1.27,0.36,0.0577,24,0.4114,2.24,16.31,58.8,0,Afternoon,4
